Transaction_ID,Sale_Date,Car_Brand,Car_Model,Model_Year,Car_Type,Engine_Type,Color,Base_Price_NET,Tax_Rate (%),Tax_Amount,Total_Price_GROSS,Discount (%),Final_Price_GROSS,Customer_Age,Customer_Gender,Region,Salesperson_ID,Days_In_Inventory,Campaign_Name,Financed,Financing_Partner,Profit_Margin (%)
T0001,2024-10-24,Volkswagen,Golf,2020,Hatchback,Electric,Black,201461,23,46336.03,247797.03,5,235407.18,45,Male,Gdansk,S168,59,Spring2024,Yes,AutoFin,11.36
T0002,2024-09-29,Ford,Mondeo,2022,Coupe,Diesel,White,220633,23,50745.59,271378.58999999997,10,244240.73,34,Male,Gdansk,S175,107,SummerDeals,Yes,AutoFin,10.83
T0003,2024-03-13,Toyota,Camry,2020,Sedan,Petrol,White,117897,23,27116.31,145013.31,7,134862.38,56,Male,Gdansk,S179,21,WinterClearance,Yes,LeasingPro,12.16
T0004,2024-04-24,BMW,3 Series,2020,Sedan,Diesel,Red,130584,23,30034.32,160618.32,5,152587.4,68,Male,Gdansk,S194,26,AutumnSales,Yes,CreditPlus,7.09
T0005,2024-06-21,BMW,3 Series,2022,SUV,Hybrid,Gray,102717,23,23624.91,126341.91,3,122551.65,41,Male,Poznan,S174,9,Spring2024,Yes,BankPolska,13.72
T0006,2024-09-13,Volkswagen,Tiguan,2021,Sedan,Petrol,Red,184840,23,42513.2,227353.2,5,215985.54,45,Male,Warsaw,S171,90,SummerDeals,Yes,BankPolska,6.66
T0007,2024-11-01,Toyota,Camry,2024,SUV,Hybrid,Red,62891,23,14464.93,77355.93,7,71941.01,47,Female,Wroclaw,S145,80,WinterClearance,Yes,LeasingPro,7.97
T0008,2024-08-20,Toyota,Corolla,2022,Hatchback,Electric,White,134104,23,30843.92,164947.91999999998,10,148453.13,36,Female,Warsaw,S158,66,AutumnSales,No,None,11.37
T0009,2024-04-29,Volkswagen,Tiguan,2024,Sedan,Petrol,Gray,126126,23,29008.98,155134.98,7,144275.53,36,Male,Krakow,S195,114,Spring2024,Yes,AutoFin,7.22
T0010,2024-11-30,Toyota,Corolla,2023,Coupe,Hybrid,White,178461,23,41046.03,219507.03,10,197556.33,45,Female,Krakow,S125,76,SummerDeals,Yes,LeasingPro,5.46
T0011,2024-06-02,Ford,Kuga,2022,SUV,Hybrid,White,99648,23,22919.04,122567.04000000001,7,113987.35,46,Female,Warsaw,S163,1,WinterClearance,No,None,8.76
T0012,2024-08-30,BMW,3 Series,2023,Coupe,Petrol,Silver,197528,23,45431.44,242959.44,7,225952.28,41,Male,Warsaw,S100,8,AutumnSales,Yes,None,17.56
T0013,2024-02-09,Volkswagen,Golf,2024,Coupe,Petrol,Blue,116630,23,26824.9,143454.9,5,136282.15,64,Male,Warsaw,S121,17,WinterClearance,No,None,19.6
T0014,2024-02-18,Hyundai,Tucson,2023,Hatchback,Petrol,Gray,219195,23,50414.85,269609.85,10,242648.86,61,Male,Wroclaw,S185,78,Spring2024,Yes,BankPolska,12.96
T0015,2024-05-19,Volkswagen,Passat,2020,Sedan,Petrol,White,117771,23,27087.33,144858.33000000002,3,140512.58,42,Male,Krakow,S103,80,SummerDeals,Yes,None,18.51
T0016,2024-01-04,Volkswagen,Golf,2023,Sedan,Hybrid,Red,129502,23,29785.46,159287.46,3,154508.84,44,Female,Krakow,S171,97,AutumnSales,Yes,None,17.53
T0017,2024-11-21,BMW,3 Series,2021,Coupe,Diesel,Red,95467,23,21957.41,117424.41,0,117424.41,45,Female,Krakow,S145,115,WinterClearance,Yes,AutoFin,14.46
T0018,2024-09-30,BMW,5 Series,2020,Hatchback,Diesel,Silver,153636,23,35336.28,188972.28,5,179523.67,70,Female,Wroclaw,S149,95,WinterClearance,No,None,6.13
