"","x"
"1",-10.1000003814697
"2",-18
"3",-10.1999998092651
"4",-2.60000014305115
"5",2.70000004768372
"6",11.1000003814697
"7",14.9000005722046
"8",10.9000005722046
"9",6.5
"10",3.29999995231628
"11",-10.1000003814697
"12",-17.7000007629395
"13",-17
"14",-15.1999998092651
"15",-13.5
"16",-5.30000019073486
"17",0.699999988079071
"18",6.20000028610229
"19",8.60000038146973
"20",8.69999980926514
"21",3.40000009536743
"22",-3.10000014305115
"23",-8.30000019073486
"24",-11.6000003814697
"25",-14.4000005722046
"26",-9.19999980926514
"27",-5.5
"28",-4
"29",2.29999995231628
"30",7.70000028610229
"31",9.69999980926514
"32",9.40000057220459
"33",5.40000009536743
"34",-5.30000019073486
"35",-8.90000057220459
"36",-9.90000057220459
"37",-9.69999980926514
"38",-19.1000003814697
"39",-10.1000003814697
"40",-1.80000007152557
"41",1.60000002384186
"42",8.10000038146973
"43",9.90000057220459
"44",8.90000057220459
"45",5.90000009536743
"46",0.5
"47",-12.1000003814697
"48",-18.2000007629395
"49",-16.3000011444092
"50",-12.3000001907349
"51",-8.80000019073486
"52",-5.20000028610229
"53",3.20000004768372
"54",10.3000001907349
"55",11.6999998092651
"56",9.5
"57",4.59999990463257
"58",-5
"59",-9
"60",-9.90000057220459
"61",-11.6999998092651
"62",-12.5
"63",-12.9000005722046
"64",-1.60000002384186
"65",2.90000009536743
"66",9.10000038146973
"67",12.1999998092651
"68",8.30000019073486
"69",5
"70",-0.100000001490116
"71",-7.80000019073486
"72",-13.1999998092651
"73",-16.1000003814697
"74",-10.3000001907349
"75",-5.70000028610229
"76",-1.80000007152557
"77",1
"78",10.3000001907349
"79",10.4000005722046
"80",7.80000019073486
"81",3.90000009536743
"82",1.30000007152557
"83",-5.20000028610229
"84",-14.3000001907349
"85",-12.6999998092651
"86",-13.1999998092651
"87",-10
"88",-2.60000014305115
"89",1.5
"90",7.20000028610229
"91",11.9000005722046
"92",10.5
"93",4.80000019073486
"94",2.10000014305115
"95",-12.1000003814697
"96",-10.6000003814697
"97",-9.60000038146973
"98",-13.6999998092651
"99",-12.4000005722046
"100",-5.70000028610229
"101",0.100000001490116
"102",8.5
"103",11.6999998092651
"104",9.10000038146973
"105",5.5
"106",0.699999988079071
"107",-13.4000005722046
"108",-12.5
"109",-14.1000003814697
"110",-8
"111",-7.20000028610229
"112",-2.79999995231628
"113",3.40000009536743
"114",8.5
"115",11
"116",9.69999980926514
"117",5.09999990463257
"118",-1.20000004768372
"119",-9.90000057220459
"120",-13.5
"121",-12.6999998092651
"122",-13.8000001907349
"123",-8.5
"124",-3.5
"125",4.20000028610229
"126",8
"127",10.6000003814697
"128",11
"129",6
"130",-2.40000009536743
"131",-10.1000003814697
"132",-8.40000057220459
"133",-20.2000007629395
"134",-18.6000003814697
"135",-7.70000028610229
"136",-4.59999990463257
"137",2.70000004768372
"138",10.3000001907349
"139",12.5
"140",10.6999998092651
"141",4.40000009536743
"142",-2.79999995231628
"143",-8.80000019073486
"144",-12.6999998092651
"145",-18.6000003814697
"146",-12
"147",-8.5
"148",-2.10000014305115
"149",3.29999995231628
"150",8.80000019073486
"151",12.5
"152",10.1999998092651
"153",5.40000009536743
"154",-2
"155",-5.70000028610229
"156",-15.1999998092651
"157",-13.4000005722046
"158",-12.1999998092651
"159",-9.69999980926514
"160",-1.5
"161",2
"162",9.19999980926514
"163",14
"164",9.5
"165",5.5
"166",-1.5
"167",-8.40000057220459
"168",-12.3000001907349
"169",-18
"170",-14.6999998092651
"171",-13.1999998092651
"172",-3.70000004768372
"173",0.699999988079071
"174",6.5
"175",13
"176",9.40000057220459
"177",3.5
"178",-1.89999997615814
"179",-11.6000003814697
"180",-22.3999996185303
"181",-14.1000003814697
"182",-12.6999998092651
"183",-12.6000003814697
"184",-3.10000014305115
"185",1.89999997615814
"186",9.40000057220459
"187",14.9000005722046
"188",9
"189",3.90000009536743
"190",-4.20000028610229
"191",-6.59999990463257
"192",-13.9000005722046
"193",-18.2000007629395
"194",-16.6000003814697
"195",-13.1999998092651
"196",-6.30000019073486
"197",0.5
"198",10.5
"199",10.4000005722046
"200",13.5
"201",4.59999990463257
"202",-0.800000011920929
