Number of Cyc., xdisp_rel (FISH), xdisp_meas (FISH)
2060, 1.3606284E-006, 1.0200000E-001
2070, 5.0585879E-006, 1.0200000E-001
2080, 8.5734861E-006, 1.0200000E-001
2090, 1.3356158E-005, 1.0200000E-001
2100, 2.1589017E-005, 1.0200000E-001
2110, 3.1164557E-005, 1.0200000E-001
2120, 4.0401810E-005, 1.0200000E-001
2130, 5.0629241E-005, 1.0200000E-001
2140, 6.3315399E-005, 1.0200000E-001
2150, 7.8301051E-005, 1.0200000E-001
2160, 9.0111167E-005, 1.0200000E-001
2170, 9.9332142E-005, 1.0200000E-001
2180, 1.0543444E-004, 1.0200000E-001
2190, 1.1228960E-004, 1.0200000E-001
2200, 1.1840518E-004, 1.0200000E-001
2210, 1.2158803E-004, 1.0200000E-001
2220, 1.2767395E-004, 1.0200000E-001
2230, 1.3335163E-004, 1.0200000E-001
2240, 1.3823096E-004, 1.0200000E-001
2250, 1.4404175E-004, 1.0200000E-001
2260, 1.5235535E-004, 1.0200000E-001
2270, 1.5891866E-004, 1.0200000E-001
2280, 1.6660620E-004, 1.0200000E-001
2290, 1.7404935E-004, 1.0200000E-001
2300, 1.8280913E-004, 1.0200000E-001
2310, 1.9197202E-004, 1.0200000E-001
2320, 2.0099472E-004, 1.0200000E-001
2330, 2.0925294E-004, 1.0200000E-001
2340, 2.1936913E-004, 1.0200000E-001
2350, 2.2893410E-004, 1.0200000E-001
2360, 2.3896487E-004, 1.0200000E-001
2370, 2.5010089E-004, 1.0200000E-001
2380, 2.6297852E-004, 1.0200000E-001
2390, 2.7586399E-004, 1.0200000E-001
2400, 2.8769849E-004, 1.0200000E-001
2410, 2.9853454E-004, 1.0200000E-001
2420, 3.0887891E-004, 1.0200000E-001
2430, 3.2004452E-004, 1.0200000E-001
2440, 3.3180016E-004, 1.0200000E-001
2450, 3.4356723E-004, 1.0200000E-001
2460, 3.5591392E-004, 1.0200000E-001
2470, 3.6679674E-004, 1.0200000E-001
2480, 3.7549962E-004, 1.0200000E-001
2490, 3.8351400E-004, 1.0200000E-001
2500, 3.9090960E-004, 1.0200000E-001
2510, 3.9875947E-004, 1.0200000E-001
2520, 4.0641478E-004, 1.0200000E-001
2530, 4.1364562E-004, 1.0200000E-001
2540, 4.2056339E-004, 1.0200000E-001
2550, 4.2811050E-004, 1.0200000E-001
2560, 4.3625020E-004, 1.0200000E-001
2570, 4.4614669E-004, 1.0200000E-001
2580, 4.5708588E-004, 1.0200000E-001
2590, 4.6837162E-004, 1.0200000E-001
2600, 4.8162032E-004, 1.0200000E-001
2610, 4.9451013E-004, 1.0200000E-001
2620, 5.0771245E-004, 1.0200000E-001
2630, 5.2111230E-004, 1.0200000E-001
2640, 5.3447670E-004, 1.0200000E-001
2650, 5.4738427E-004, 1.0200000E-001
2660, 5.6030770E-004, 1.0200000E-001
2670, 5.7397497E-004, 1.0200000E-001
2680, 5.8872419E-004, 1.0200000E-001
2690, 6.0221018E-004, 1.0200000E-001
2700, 6.1415250E-004, 1.0200000E-001
2710, 6.2493987E-004, 1.0200000E-001
2720, 6.3485929E-004, 1.0200000E-001
2730, 6.4310071E-004, 1.0200000E-001
2740, 6.4993737E-004, 1.0200000E-001
2750, 6.5736567E-004, 1.0200000E-001
2760, 6.6616821E-004, 1.0200000E-001
2770, 6.7766793E-004, 1.0200000E-001
2780, 6.8905701E-004, 1.0200000E-001
2790, 7.0052151E-004, 1.0200000E-001
2800, 7.1277219E-004, 1.0200000E-001
2810, 7.2553369E-004, 1.0200000E-001
2820, 7.3898030E-004, 1.0200000E-001
2830, 7.5224259E-004, 1.0200000E-001
2840, 7.6531941E-004, 1.0200000E-001
2850, 7.7840504E-004, 1.0200000E-001
2860, 7.9219014E-004, 1.0200000E-001
2870, 8.0618688E-004, 1.0200000E-001
2880, 8.1972869E-004, 1.0200000E-001
2890, 8.3206200E-004, 1.0200000E-001
2900, 8.4359392E-004, 1.0200000E-001
2910, 8.5483365E-004, 1.0200000E-001
2920, 8.6515989E-004, 1.0200000E-001
2930, 8.7434769E-004, 1.0200000E-001
2940, 8.8278627E-004, 1.0200000E-001
2950, 8.9167636E-004, 1.0200000E-001
2960, 9.0256956E-004, 1.0200000E-001
2970, 9.1247511E-004, 1.0200000E-001
2980, 9.2298521E-004, 1.0200000E-001
2990, 9.3397497E-004, 1.0200000E-001
3000, 9.4469659E-004, 1.0200000E-001
3010, 9.5559826E-004, 1.0200000E-001
3020, 9.6748748E-004, 1.0200000E-001
3030, 9.8011194E-004, 1.0200000E-001
3040, 9.9357751E-004, 1.0200000E-001
3050, 1.0077147E-003, 1.0200000E-001
3060, 1.0228038E-003, 1.0200000E-001
3070, 1.0390997E-003, 1.0200000E-001
3080, 1.0554117E-003, 1.0200000E-001
3090, 1.0715692E-003, 1.0200000E-001
3100, 1.0868341E-003, 1.0200000E-001
3110, 1.1022881E-003, 1.0200000E-001
3120, 1.1168570E-003, 1.0200000E-001
3130, 1.1291359E-003, 1.0200000E-001
3140, 1.1415742E-003, 1.0200000E-001
3150, 1.1547465E-003, 1.0200000E-001
3160, 1.1678647E-003, 1.0200000E-001
3170, 1.1805821E-003, 1.0200000E-001
3180, 1.1913008E-003, 1.0200000E-001
3190, 1.2009664E-003, 1.0200000E-001
3200, 1.2136480E-003, 1.0200000E-001
3210, 1.2268829E-003, 1.0200000E-001
3220, 1.2398414E-003, 1.0200000E-001
3230, 1.2522090E-003, 1.0200000E-001
3240, 1.2643989E-003, 1.0200000E-001
3250, 1.2775800E-003, 1.0200000E-001
3260, 1.2917402E-003, 1.0200000E-001
3270, 1.3063619E-003, 1.0200000E-001
3280, 1.3213936E-003, 1.0200000E-001
3290, 1.3366299E-003, 1.0200000E-001
3300, 1.3520367E-003, 1.0200000E-001
3310, 1.3676082E-003, 1.0200000E-001
3320, 1.3843324E-003, 1.0200000E-001
3330, 1.4011585E-003, 1.0200000E-001
3340, 1.4178993E-003, 1.0200000E-001
3350, 1.4338761E-003, 1.0200000E-001
3360, 1.4502865E-003, 1.0200000E-001
3370, 1.4682259E-003, 1.0200000E-001
3380, 1.4863869E-003, 1.0200000E-001
3390, 1.5061455E-003, 1.0200000E-001
3400, 1.5251929E-003, 1.0200000E-001
3410, 1.5434758E-003, 1.0200000E-001
3420, 1.5612516E-003, 1.0200000E-001
3430, 1.5796732E-003, 1.0200000E-001
3440, 1.5972281E-003, 1.0200000E-001
3450, 1.6161404E-003, 1.0200000E-001
3460, 1.6350913E-003, 1.0200000E-001
3470, 1.6541015E-003, 1.0200000E-001
3480, 1.6714123E-003, 1.0200000E-001
3490, 1.6888447E-003, 1.0200000E-001
3500, 1.7075347E-003, 1.0200000E-001
3510, 1.7260007E-003, 1.0200000E-001
3520, 1.7453932E-003, 1.0200000E-001
3530, 1.7646243E-003, 1.0200000E-001
3540, 1.7832892E-003, 1.0200000E-001
3550, 1.8005989E-003, 1.0200000E-001
3560, 1.8169864E-003, 1.0200000E-001
3570, 1.8323802E-003, 1.0200000E-001
3580, 1.8477924E-003, 1.0200000E-001
3590, 1.8619584E-003, 1.0200000E-001
3600, 1.8765617E-003, 1.0200000E-001
3610, 1.8926530E-003, 1.0200000E-001
3620, 1.9106417E-003, 1.0200000E-001
3630, 1.9277657E-003, 1.0200000E-001
3640, 1.9461234E-003, 1.0200000E-001
3650, 1.9658245E-003, 1.0200000E-001
3660, 1.9865229E-003, 1.0200000E-001
3670, 2.0074618E-003, 1.0200000E-001
3680, 2.0281547E-003, 1.0200000E-001
3690, 2.0487318E-003, 1.0200000E-001
3700, 2.0687959E-003, 1.0200000E-001
3710, 2.0879570E-003, 1.0200000E-001
3720, 2.1068923E-003, 1.0200000E-001
3730, 2.1248015E-003, 1.0200000E-001
3740, 2.1412374E-003, 1.0200000E-001
3750, 2.1573191E-003, 1.0200000E-001
3760, 2.1732258E-003, 1.0200000E-001
3770, 2.1895819E-003, 1.0200000E-001
3780, 2.2064619E-003, 1.0200000E-001
3790, 2.2234565E-003, 1.0200000E-001
3800, 2.2413294E-003, 1.0200000E-001
3810, 2.2602764E-003, 1.0200000E-001
3820, 2.2788928E-003, 1.0200000E-001
3830, 2.2984189E-003, 1.0200000E-001
3840, 2.3182746E-003, 1.0200000E-001
3850, 2.3376217E-003, 1.0200000E-001
3860, 2.3567075E-003, 1.0200000E-001
3870, 2.3758554E-003, 1.0200000E-001
3880, 2.3947966E-003, 1.0200000E-001
3890, 2.4132868E-003, 1.0200000E-001
3900, 2.4330603E-003, 1.0200000E-001
3910, 2.4508168E-003, 1.0200000E-001
3920, 2.4692915E-003, 1.0200000E-001
3930, 2.4886120E-003, 1.0200000E-001
3940, 2.5076222E-003, 1.0200000E-001
3950, 2.5260706E-003, 1.0200000E-001
3960, 2.5437368E-003, 1.0200000E-001
3970, 2.5619469E-003, 1.0200000E-001
3980, 2.5817852E-003, 1.0200000E-001
3990, 2.6020184E-003, 1.0200000E-001
4000, 2.6232268E-003, 1.0200000E-001
4010, 2.6436856E-003, 1.0200000E-001
4020, 2.6648745E-003, 1.0200000E-001
4030, 2.6861000E-003, 1.0200000E-001
4040, 2.7065377E-003, 1.0200000E-001
4050, 2.7268983E-003, 1.0200000E-001
4060, 2.7479570E-003, 1.0200000E-001
4070, 2.7692722E-003, 1.0200000E-001
4080, 2.7913644E-003, 1.0200000E-001
4090, 2.8137953E-003, 1.0200000E-001
4100, 2.8367691E-003, 1.0200000E-001
4110, 2.8599826E-003, 1.0200000E-001
4120, 2.8829366E-003, 1.0200000E-001
4130, 2.9052291E-003, 1.0200000E-001
4140, 2.9264818E-003, 1.0200000E-001
4150, 2.9469890E-003, 1.0200000E-001
