,Id_punktu,data,pm25
0,4,2024-01-01 00:00:31,38.500846079722464
276,2,2024-01-01 01:00:01,74.62796243370614
277,5,2024-01-01 01:00:17,77.39721929999064
278,2,2024-01-01 01:00:35,74.62796243370614
279,1,2024-01-01 01:00:36,80.59488031037793
280,5,2024-01-01 01:00:37,77.39721929999064
281,4,2024-01-01 01:00:38,71.2764522078156
282,3,2024-01-01 01:00:44,72.39484470518688
283,2,2024-01-01 01:00:46,74.62796243370614
557,5,2024-01-01 02:00:19,77.39721929999064
558,4,2024-01-01 02:00:33,71.2764522078156
559,1,2024-01-01 02:00:57,80.59488031037793
844,3,2024-01-01 03:00:36,74.87806564762086
845,2,2024-01-01 03:00:44,83.40886393001497
1130,1,2024-01-01 04:00:01,76.33033374656267
1131,4,2024-01-01 04:00:24,82.98565912030904
1132,1,2024-01-01 04:00:27,76.33033374656267
1133,4,2024-01-01 04:00:37,82.98565912030904
1134,3,2024-01-01 04:00:55,74.87806564762086
1420,4,2024-01-01 05:00:36,82.98565912030904
1421,3,2024-01-01 05:00:37,74.87806564762086
1422,1,2024-01-01 05:00:46,76.33033374656267
1423,5,2024-01-01 05:00:48,81.4646338640885
1424,3,2024-01-01 05:00:59,74.87806564762086
1702,1,2024-01-01 06:00:00,75.43320489682306
1703,3,2024-01-01 06:00:24,78.94156742500977
1704,1,2024-01-01 06:00:37,75.43320489682306
1705,4,2024-01-01 06:00:53,80.27010418328605
1986,3,2024-01-01 07:00:09,78.94156742500977
1987,2,2024-01-01 07:00:20,76.73710139552743
1988,1,2024-01-01 07:00:26,77.76651626398838
1989,4,2024-01-01 07:00:57,80.27010418328605
2262,2,2024-01-01 08:00:04,84.2727009247333
2263,3,2024-01-01 08:00:06,78.94156742500977
2264,4,2024-01-01 08:00:11,80.27010418328605
2265,5,2024-01-01 08:00:26,77.59583629909515
2266,2,2024-01-01 08:00:27,84.2727009247333
2267,5,2024-01-01 08:00:39,77.59583629909515
2268,1,2024-01-01 08:00:49,77.76651626398838
2539,1,2024-01-01 09:00:00,77.76651626398838
2540,2,2024-01-01 09:00:11,84.2727009247333
2541,4,2024-01-01 09:00:21,79.86371698878824
2542,3,2024-01-01 09:00:39,82.81871805379245
2543,5,2024-01-01 09:00:44,75.49506879287036
2544,3,2024-01-01 09:00:52,82.81871805379245
2821,1,2024-01-01 10:00:07,84.65010351720721
2822,5,2024-01-01 10:00:42,75.49506879287036
2823,3,2024-01-01 10:00:51,82.81871805379245
3099,1,2024-01-01 11:00:03,84.65010351720721
3100,4,2024-01-01 11:00:20,74.9981406701422
3101,2,2024-01-01 11:00:32,82.5663947700584
3379,4,2024-01-01 12:00:22,75.61245468460578
3380,3,2024-01-01 12:00:31,83.5362258274045
3381,1,2024-01-01 12:00:51,84.65010351720721
3382,2,2024-01-01 12:00:51,82.5663947700584
3648,1,2024-01-01 13:00:02,79.9299951743279
3649,5,2024-01-01 13:00:24,78.58290940866138
3650,2,2024-01-01 13:00:27,82.5663947700584
3921,5,2024-01-01 14:00:00,78.58290940866138
3922,5,2024-01-01 14:00:26,78.58290940866138
3923,4,2024-01-01 14:00:41,79.25412591803892
3924,2,2024-01-01 14:00:43,73.13856136998166
4192,1,2024-01-01 15:00:31,79.9299951743279
4193,2,2024-01-01 15:00:32,74.47770078936249
4194,5,2024-01-01 15:00:43,80.89646348335546
4195,3,2024-01-01 15:00:51,80.23373331399557
4196,4,2024-01-01 15:00:51,79.53938672925389
4456,1,2024-01-01 16:00:09,73.8661464608941
4457,4,2024-01-01 16:00:17,79.53938672925389
4458,5,2024-01-01 16:00:22,80.89646348335546
4726,4,2024-01-01 17:00:06,79.53938672925389
4727,5,2024-01-01 17:00:48,80.89646348335546
4728,1,2024-01-01 17:00:50,74.43876893108603
5003,4,2024-01-01 18:00:03,77.81610969383692
5004,4,2024-01-01 18:00:29,77.81610969383692
5005,2,2024-01-01 18:00:51,84.60869690463045
5275,4,2024-01-01 19:00:29,64.68765602147832
5276,3,2024-01-01 19:00:32,81.46230923264514
5277,5,2024-01-01 19:00:34,78.44419387763796
5278,2,2024-01-01 19:00:39,84.60869690463045
5279,1,2024-01-01 19:00:56,74.43876893108603
5564,2,2024-01-01 20:00:17,84.60869690463045
5565,4,2024-01-01 20:00:42,68.53650607880589
5566,1,2024-01-01 20:00:44,76.0944459464246
5567,5,2024-01-01 20:00:48,77.09628652190862
5835,2,2024-01-01 21:00:04,76.06910018451268
5836,3,2024-01-01 21:00:17,81.46230923264514
5837,5,2024-01-01 21:00:26,76.31828467799029
5838,4,2024-01-01 21:00:34,72.897907703084
5839,3,2024-01-01 21:00:37,81.46230923264514
5840,2,2024-01-01 21:00:39,76.06910018451268
5841,5,2024-01-01 21:00:40,76.31828467799029
6126,5,2024-01-01 22:00:15,76.31828467799029
6410,5,2024-01-01 23:00:10,76.31828467799029
6411,3,2024-01-01 23:00:11,77.02243273372913
6412,4,2024-01-01 23:00:18,72.897907703084
6413,1,2024-01-01 23:00:23,89.958777896001
6414,3,2024-01-01 23:00:34,77.02243273372913
6692,2,2024-01-02 00:00:20,77.79416736851363
6693,5,2024-01-02 00:00:24,84.15063434862583
6694,1,2024-01-02 00:00:43,89.958777896001
6970,1,2024-01-02 01:00:12,84.23355617319088
6971,3,2024-01-02 01:00:13,77.02243273372913
6972,4,2024-01-02 01:00:17,75.08141936137437
6973,5,2024-01-02 01:00:18,84.15063434862583
6974,4,2024-01-02 01:00:40,75.08141936137437
6975,2,2024-01-02 01:00:46,77.79416736851363
7256,4,2024-01-02 02:00:15,76.27297413749568
7257,3,2024-01-02 02:00:18,75.9407309585432
7258,5,2024-01-02 02:00:20,84.15063434862583
7259,2,2024-01-02 02:00:40,77.79416736851363
7260,1,2024-01-02 02:00:41,75.77379995591244
7538,2,2024-01-02 03:00:04,82.10331644334893
7539,4,2024-01-02 03:00:15,77.93677076382116
7540,5,2024-01-02 03:00:23,83.10617924246237
7541,5,2024-01-02 03:00:49,83.10617924246237
7542,3,2024-01-02 03:00:58,75.9407309585432
7828,4,2024-01-02 04:00:09,77.93677076382116
7829,1,2024-01-02 04:00:16,77.18780233448135
7830,2,2024-01-02 04:00:29,82.10331644334893
7831,1,2024-01-02 04:00:33,77.18780233448135
7832,3,2024-01-02 04:00:54,75.9407309585432
8103,3,2024-01-02 05:00:18,73.62595098601173
8104,4,2024-01-02 05:00:19,77.93677076382116
8105,5,2024-01-02 05:00:25,84.98734105502464
8106,4,2024-01-02 05:00:37,77.93677076382116
8107,2,2024-01-02 05:00:39,82.10331644334893
8108,1,2024-01-02 05:00:55,77.18780233448135
8371,3,2024-01-02 06:00:14,74.20871149939786
8372,4,2024-01-02 06:00:15,76.00916139234911
8373,1,2024-01-02 06:00:49,77.18780233448135
8660,1,2024-01-02 07:00:28,75.75637542165838
8661,4,2024-01-02 07:00:32,76.00916139234911
8662,3,2024-01-02 07:00:37,74.20871149939786
8663,2,2024-01-02 07:00:41,77.06468979884673
8664,3,2024-01-02 07:00:48,74.20871149939786
8665,1,2024-01-02 07:00:49,75.75637542165838
8939,1,2024-01-02 08:00:05,77.93977283293148
8940,5,2024-01-02 08:00:18,72.41660663972287
8941,2,2024-01-02 08:00:19,77.06468979884673
8942,4,2024-01-02 08:00:33,75.40008692106075
8943,3,2024-01-02 08:00:51,78.34246897312939
9207,1,2024-01-02 09:00:03,81.33537940031604
9208,5,2024-01-02 09:00:04,72.41660663972287
9209,3,2024-01-02 09:00:05,78.34246897312939
9210,1,2024-01-02 09:00:18,81.33537940031604
9211,3,2024-01-02 09:00:30,78.34246897312939
9471,3,2024-01-02 10:00:09,78.34246897312939
9472,4,2024-01-02 10:00:11,80.93385745449352
9473,3,2024-01-02 10:00:31,78.34246897312939
9753,4,2024-01-02 11:00:12,80.93385745449352
9754,3,2024-01-02 11:00:23,88.00971894301527
9755,2,2024-01-02 11:00:49,81.81201551181572
9756,5,2024-01-02 11:00:54,86.16348033018019
10007,3,2024-01-02 12:00:02,88.00971894301527
10008,1,2024-01-02 12:00:09,81.48143985753487
10009,5,2024-01-02 12:00:12,86.16348033018019
10010,2,2024-01-02 12:00:22,79.32636324021755
10011,3,2024-01-02 12:00:51,88.00971894301527
