index,czas_start,czas_stop,n,ns,multiline,l,t
1,47.589,51.509,2,2,True,102,3.9200000000000017
2,51.593,52.719,1,1,False,10,1.1259999999999977
3,53.511,56.306,1,1,False,11,2.7949999999999946
4,62.604,66.191,1,1,False,22,3.5870000000000033
5,77.202,79.412,1,1,False,17,2.210000000000008
6,79.496,80.997,1,1,False,14,1.5010000000000048
7,80.997,85.71,1,1,False,39,4.712999999999994
8,86.294,88.296,1,1,False,30,2.0020000000000095
9,88.296,93.802,2,2,True,53,5.506
10,93.885,98.39,1,1,False,34,4.5049999999999955
11,98.89,102.894,2,2,True,57,4.004000000000005
12,104.813,106.314,1,1,False,27,1.5009999999999906
13,106.398,109.984,1,1,False,37,3.5859999999999985
14,112.987,113.988,1,1,False,13,1.0010000000000048
15,114.906,118.284,1,1,False,34,3.378
16,118.41,120.203,1,1,False,22,1.7930000000000064
17,120.203,122.497,1,1,False,24,2.293999999999997
18,122.58,125.083,1,1,False,42,2.503
19,130.88,133.091,2,2,True,25,2.2110000000000127
20,134.217,136.803,2,2,True,25,2.5859999999999843
21,139.681,141.599,1,1,False,24,1.917999999999978
22,145.103,147.105,1,1,False,31,2.001999999999981
23,154.696,155.989,1,1,False,17,1.2930000000000064
24,167.709,168.793,1,1,False,7,1.0840000000000032
25,170.086,172.505,1,1,False,38,2.4189999999999827
26,175.216,176.718,1,1,False,19,1.5019999999999811
27,195.987,197.197,1,1,False,12,1.210000000000008
28,198.782,200.2,1,1,False,11,1.417999999999978
29,219.01,220.303,1,1,False,11,1.2930000000000064
30,230.98,236.695,1,1,False,23,5.715000000000003
31,238.279,239.614,1,1,False,11,1.335000000000008
32,242.992,246.413,1,1,False,13,3.4210000000000207
33,251.001,252.794,1,1,False,24,1.7930000000000064
34,252.919,255.505,1,1,False,14,2.5859999999999843
35,257.215,258.216,1,1,False,8,1.0010000000000332
36,258.883,261.594,1,1,False,38,2.7110000000000127
37,262.095,263.096,1,1,False,5,1.0009999999999764
38,263.179,266.516,1,1,False,13,3.337000000000046
39,267.892,269.686,1,1,False,19,1.7939999999999827
40,270.979,273.106,2,2,True,38,2.1270000000000095
41,273.189,275.817,1,1,False,25,2.627999999999986
42,275.9,276.901,1,1,False,9,1.0010000000000332
43,277.902,279.279,1,1,False,16,1.3770000000000095
44,279.404,281.489,1,1,False,32,2.0849999999999795
45,281.614,282.782,1,1,False,22,1.1680000000000064
46,284.701,287.12,1,1,False,9,2.4189999999999827
47,288.496,291.082,2,2,True,48,2.5860000000000127
48,291.207,292.584,1,1,False,15,1.3770000000000095
49,292.709,293.71,1,1,False,4,1.0009999999999764
50,296.212,298.798,2,2,True,44,2.5860000000000127
51,300.091,301.092,1,1,False,7,1.0009999999999764
52,303.72,306.306,1,1,False,41,2.585999999999956
53,307.39,308.6,1,1,False,10,1.2100000000000364
54,309.1,312.02,1,1,False,20,2.919999999999959
55,318.109,319.319,1,1,False,4,1.2100000000000364
56,326.701,327.994,1,1,False,27,1.2930000000000064
57,328.286,329.788,1,1,False,17,1.5020000000000095
58,331.915,334.417,1,1,False,31,2.5019999999999527
59,334.501,335.71,1,1,False,6,1.2090000000000032
60,336.419,337.796,1,1,False,12,1.3770000000000095
61,337.879,339.798,1,1,False,10,1.9189999999999827
62,339.798,341.8,1,1,False,31,2.0020000000000095
63,343.093,344.219,1,1,False,4,1.1259999999999764
64,349.683,351.101,1,1,False,13,1.4180000000000064
65,552.51,556.181,2,2,True,45,3.671000000000049
66,556.306,559.1,1,1,False,16,2.7939999999999827
67,561.394,563.813,1,1,False,38,2.4189999999999827
68,563.897,565.398,1,1,False,12,1.5009999999999764
69,566.9,568.985,1,1,False,25,2.0850000000000364
70,569.11,571.279,1,1,False,23,2.1689999999999827
71,571.905,572.906,1,1,False,18,1.0009999999999764
72,574.199,576.785,1,1,False,30,2.5860000000000127
73,577.494,579.788,1,1,False,38,2.2939999999999827
74,579.913,581.414,1,1,False,27,1.5009999999999764
75,581.498,582.916,1,1,False,20,1.4180000000000064
76,583.917,585.502,1,1,False,14,1.5849999999999227
77,586.002,587.003,1,1,False,8,1.00100000000009
78,587.879,589.381,1,1,False,14,1.5019999999999527
79,590.507,593.301,1,1,False,37,2.7940000000000964
80,593.385,594.886,1,1,False,21,1.5009999999999764
81,595.011,596.513,1,1,False,18,1.5020000000000664
82,596.596,598.181,1,1,False,20,1.5850000000000364
83,598.89,599.891,1,1,False,8,1.0009999999999764
84,600.809,603.895,1,1,False,39,3.0860000000000127
85,603.895,605.897,1,1,False,18,2.0020000000000664
86,605.98,609.317,2,2,True,56,3.336999999999989
87,609.401,611.319,1,1,False,29,1.9180000000000064
88,611.403,613.196,1,1,False,28,1.7930000000000064
89,613.905,614.989,1,1,False,10,1.08400000000006
90,615.115,616.199,1,1,False,16,1.0839999999999463
91,620.912,623.581,1,1,False,33,2.6689999999999827
92,623.707,625.792,1,1,False,16,2.0850000000000364
93,626.292,629.713,1,1,False,29,3.4209999999999354
94,631.006,636.886,2,2,True,72,5.8799999999999955
95,637.012,638.013,1,1,False,12,1.00100000000009
96,638.096,640.181,1,1,False,38,2.0850000000000364
97,640.306,641.307,1,1,False,11,1.0009999999999764
98,641.391,642.6,1,1,False,19,1.20900000000006
99,642.684,645.895,2,2,True,43,3.2110000000000127
100,646.396,648.314,1,1,False,24,1.9180000000000064
101,656.489,658.908,2,2,True,27,2.4189999999999827
102,662.912,664.998,1,1,False,17,2.0860000000000127
103,665.081,667.5,1,1,False,34,2.4189999999999827
104,667.584,669.586,1,1,False,31,2.0020000000000664
105,670.42,671.796,1,1,False,25,1.37600000000009
106,671.88,673.59,1,1,False,10,1.7100000000000364
107,673.715,675.383,1,1,False,25,1.6680000000000064
108,675.508,678.303,1,1,False,12,2.794999999999959
109,678.303,679.804,1,1,False,5,1.5009999999999764
110,679.804,680.805,1,1,False,4,1.0009999999999764
111,680.889,683.099,1,1,False,23,2.2100000000000364
112,683.183,685.101,1,1,False,15,1.9180000000000064
113,685.602,687.896,2,2,True,39,2.2939999999999827
114,687.979,691.608,2,2,True,60,3.6289999999999054
115,692.484,694.194,1,1,False,15,1.7099999999999227
116,694.194,696.905,2,2,True,43,2.7110000000000127
117,697.906,698.99,1,1,False,11,1.08400000000006
118,699.115,702.494,2,2,True,38,3.379000000000019
119,707.916,708.917,1,1,False,12,1.0009999999999764
120,709.0,710.21,1,1,False,4,1.2100000000000364
121,711.294,713.004,1,1,False,40,1.7100000000000364
122,718.301,720.595,2,2,True,52,2.2939999999999827
123,720.595,721.596,1,1,False,22,1.0009999999999764
124,721.68,724.182,2,2,True,46,2.5020000000000664
125,724.307,728.52,2,2,True,58,4.212999999999965
126,728.603,732.399,2,2,True,65,3.796000000000049
127,732.399,735.902,2,2,True,50,3.5030000000000427
128,735.985,738.113,1,1,False,41,2.1280000000000427
129,738.196,742.2,2,2,True,53,4.004000000000019
130,742.2,743.201,1,1,False,14,1.0009999999999764
131,743.284,744.911,1,1,False,26,1.6269999999999527
132,744.994,747.58,2,2,True,51,2.5860000000000127
133,748.206,749.708,1,1,False,25,1.5019999999999527
134,750.208,753.42,1,1,False,26,3.211999999999989
135,753.503,756.506,1,1,False,19,3.002999999999929
136,757.215,760.593,2,2,True,58,3.377999999999929
137,760.719,764.597,1,1,False,26,3.877999999999929
138,764.681,766.099,1,1,False,20,1.4180000000000064
139,766.182,768.685,2,2,True,55,2.502999999999929
140,768.81,770.979,1,1,False,31,2.1690000000000964
141,771.396,773.69,1,1,False,14,2.2940000000000964
142,775.483,781.406,2,2,True,53,5.923000000000002
143,781.406,782.699,1,1,False,21,1.2930000000000064
144,782.782,784.492,1,1,False,28,1.7099999999999227
145,784.617,788.079,2,2,True,52,3.461999999999989
146,789.289,791.499,1,1,False,28,2.2100000000000364
147,791.499,794.502,2,2,True,49,3.002999999999929
148,794.502,796.504,1,1,False,37,2.0020000000000664
149,796.588,798.59,2,2,True,43,2.0020000000000664
150,798.715,802.594,2,2,True,59,3.879000000000019
151,802.719,803.72,1,1,False,4,1.0009999999999764
152,804.304,805.305,1,1,False,12,1.0009999999999764
153,806.306,808.391,1,1,False,26,2.0849999999999227
154,808.892,813.188,2,2,True,60,4.295999999999935
155,813.313,816.9,2,2,True,39,3.586999999999989
156,816.9,820.612,2,2,True,55,3.711999999999989
157,820.695,822.906,1,1,False,40,2.210999999999899
158,822.989,826.785,2,2,True,61,3.7959999999999354
159,826.91,829.287,2,2,True,45,2.3770000000000664
160,829.412,832.29,2,2,True,55,2.877999999999929
161,832.415,835.794,1,1,False,42,3.379000000000019
162,836.294,839.005,2,2,True,47,2.7110000000000127
163,840.006,841.216,1,1,False,10,1.2100000000000364
164,842.217,843.301,1,1,False,10,1.08400000000006
165,846.096,847.18,1,1,False,4,1.0839999999999463
166,847.305,849.516,1,1,False,39,2.2110000000000127
167,849.599,850.892,1,1,False,21,1.2930000000000064
168,858.9,859.901,1,1,False,9,1.0009999999999764
169,859.984,863.113,2,2,True,43,3.129000000000019
170,863.196,866.199,2,2,True,49,3.002999999999929
171,866.282,868.201,1,1,False,33,1.9189999999999827
172,868.284,870.412,2,2,True,39,2.1280000000000427
173,870.495,873.081,2,2,True,49,2.5860000000000127
174,873.206,876.084,2,2,True,51,2.877999999999929
175,876.209,878.003,1,1,False,23,1.7940000000000964
176,878.586,881.506,1,1,False,18,2.919999999999959
177,881.589,883.299,2,2,True,43,1.7099999999999227
178,884.509,885.802,1,1,False,4,1.2930000000000064
179,885.885,888.805,1,1,False,40,2.919999999999959
180,888.888,890.515,1,1,False,25,1.6269999999999527
181,891.099,897.689,2,2,True,65,6.589999999999918
182,899.607,900.9,1,1,False,24,1.2930000000000064
183,901.693,904.195,2,2,True,45,2.5020000000000664
184,905.196,906.698,1,1,False,26,1.5019999999999527
185,910.785,911.786,1,1,False,6,1.0009999999999764
186,913.496,915.999,1,1,False,27,2.5030000000000427
187,917.292,920.086,2,2,True,49,2.7939999999999827
188,920.211,924.007,1,1,False,29,3.7959999999999354
189,924.799,925.8,1,1,False,20,1.0009999999999764
190,927.093,929.304,1,1,False,36,2.2110000000000127
191,930.889,932.515,1,1,False,34,1.6259999999999764
192,932.599,935.894,2,2,True,47,3.294999999999959
193,938.605,940.106,1,1,False,16,1.5009999999999764
194,941.107,944.903,2,2,True,53,3.796000000000049
195,944.903,947.781,2,2,True,48,2.877999999999929
